Juhtumi nr,Toimumisaeg,Isikuid,Hukkunuid,Sõidukeid,Vigastatuid,Aadress,Tänav,Maja nr,Ristuv tänav,Tee nr,Tee km,Maakond,Omavalitsus,Asustusüksus,Asula,Liiklusõnnetuse liik,Liiklusõnnetuse liik (detailne),Kergliikurijuhi osalusel,Jalakäija osalusel,Kaassõitja osalusel,Maastikusõiduki juhi osalusel,Eaka (65+) mootorsõidukijuhi osalusel,Bussijuhi osalusel,Veoautojuhi osalusel,Ühissõidukijuhi osalusel,Sõiduautojuhi osalusel,Mootorratturi osalusel,Mopeedijuhi osalusel,Jalgratturi osalusel,Alaealise osalusel,Esmase juhiloa omaniku osalusel,Turvavarustust mitte kasutanud isiku osalusel,Mootorsõidukijuhi osalusel,Tüüpskeemi nr,Tüüpskeem,Tee tüüp,Tee tüüp (detailne),Tee liik,Tee element,Tee element (detailne),Tee objekt,Kurvilisus,Tee tasasus,Tee seisund,Teekate,Teekatte seisund,Sõiduradade arv,Lubatud sõidukiirus,Ilmastik,Valgustus,Valgustus (detailne),X koordinaat,Y koordinaat,road_width,road_width_uom,n,distance,feature_x,feature_y,nearest_x,nearest_y
3100180203208,2018-05-02 10:39:00,2,0,2,1, Võru maakond Võru linn  F. R. Kreutzwaldi tn,F. R. Kreutzwaldi tn,34,Vabaduse tn,67,0.213,Võru maakond,Võru linn,Võru linn,JAH,Kokkupõrge,Kokkupõrge sõidukiga küljelt,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,true,501,Ristmiku peateel otse sõitva sõiduki konflikt vasakult poolt kõrvalteelt tuleva sõidukiga.,KOV tee/tänav,Tänav,Tugimaantee,Ristmik,†-kujuline ristmik,Reguleerimata ristmik - liiklusmärkidega,Sirge tee,Tasane tee,Sõidutee on korras,Püsikate,Kuiv,,50,Selged olud,Valge aeg,Valge aeg,6415392.04,677857.39,10,m,1,0.249726273807865,677857.39,6415392.04,677857.227120524,6415391.85070265
3100220372509,2022-07-01 10:20:00,1,0,1,1, Valga maakond Valga vald  ,PUURINA - LÜLLEMÄE - LITSMETSA,,,23201,0.435,Valga maakond,Valga vald,Londi küla,EI,Kokkupõrge,Kokkupõrge sõidukiga küljelt,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,401,Konflikt samas suunas otse sõitvate sõidukite vahel teelõigul või ristmiku peateel.,Riigitee,Kõrvalmaantee,Kõrvalmaantee,Erielemendita teelõik,Erielemendita teelõik,Rajatis puudub,Sirge tee,Tasane tee,Sõidutee on korras,Püsikate,Kuiv,2,90,Selged olud,Valge aeg,Valge aeg,6403414.86,627315.83,9,m,1,0.102995057792622,627315.83,6403414.86,627315.884672787,6403414.77271387
2101230133761,2023-09-27 15:03:00,1,0,2,2, Pärnu maakond Pärnu linn Pärnu linn Nikolai tn,Nikolai tn,32,,,,Pärnu maakond,Pärnu linn,Pärnu linn,EI,Kokkupõrge,Kokkupõrge sõidukiga küljelt,false,false,false,false,false,false,false,false,true,false,true,false,true,false,false,true,501,Ristmiku peateel otse sõitva sõiduki konflikt vasakult poolt kõrvalteelt tuleva sõidukiga.,KOV tee/tänav,Tänav,Muu tee,Ristmik,X- kujuline ristmik,Reguleerimata ristmik - liiklusmärkidega,Sirge tee,Kerge tõus,Sõidutee on korras,Püsikate,Kuiv,,50,Pilvised olud,Valge aeg,Valge aeg,6471216.0,529326.0,8,m,1,12.3429757681845,529326.0,6471216.0,529319.403503107,6471205.56758515
3100230116505,2023-03-10 10:08:00,2,0,2,2, Põlva maakond Põlva vald  ,HIMMASTE - RASINA,,,18162,0.898,Põlva maakond,Põlva vald,Himmaste küla,EI,Kokkupõrge,Kokkupõrge vastutuleva sõidukiga,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,605,Ristmikul kõrvalteelt peateele vasakpööret sooritava sõiduki konflikt vastassuunast tuleva sõidukiga.,Riigitee,Kõrvalmaantee,Kõrvalmaantee,Erielemendita teelõik,Erielemendita teelõik,Rajatis puudub,Lauge kurv,Tasane tee,Sõidutee on korras,Püsikate,Kuiv,2,90,Selged olud,Valge aeg,Valge aeg,6443744.0,682459.0,8,m,1,0.708858607583112,682459.0,6443744.0,682459.65149394,6443743.72065045
2302110125740,2011-06-12 17:03:00,2,0,1,1,,,,,,,,,,JAH,Jalakäijaõnnetus,Kokkupõrge jalakäijaga,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,true,111,Sõiduki konflikt teise sõiduki või muu takistuse varjust tuleva jalakäijaga.,KOV tee/tänav,Tänav,,Erielemendita teelõik,Erielemendita teelõik,Jalakäijate ülekäigurada – reguleeritud,Sirge tee,Tasane tee,Sõidutee on korras,Püsikate,Kuiv,,50,Selged olud,Valge aeg,Valge aeg,,,,,,,,,,
2502110050677,2011-07-16 11:50:00,2,0,2,1,,,,,,,,,,JAH,Kokkupõrge,Kokkupõrge sõidukiga küljelt,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,true,501,Ristmiku peateel otse sõitva sõiduki konflikt vasakult poolt kõrvalteelt tuleva sõidukiga.,KOV tee/tänav,Tänav,,Ristmik,†-kujuline ristmik,Reguleerimata ristmik - liiklusmärkidega,Sirge tee,Tasane tee,Sõidutee on korras,Püsikate,Kuiv,,50,Pilvised olud,Valge aeg,Valge aeg,,,,,,,,,,
2502110027569,2011-05-06 12:20:00,2,0,1,1,,,,,,,,,,EI,Kokkupõrge,Kokkupõrge sõidukiga küljelt,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,501,Ristmiku peateel otse sõitva sõiduki konflikt vasakult poolt kõrvalteelt tuleva sõidukiga.,Riigitee,Põhimaantee,,Ristmik,†-kujuline ristmik,Reguleerimata ristmik - liiklusmärkidega,Sirge tee,Tasane tee,Sõidutee on korras,Püsikate,Kuiv,,90,Selged olud,Valge aeg,Valge aeg,,,,,,,,,,
3140160069144,2016-09-25 04:10:00,2,1,1,1, Pärnu maakond VANA Tõstamaa vald Tõstamaa alevik Varbla mnt,Varbla mnt,28,,19101,38.259,Pärnu maakond,Pärnu linn,Tõstamaa alevik,JAH,Ühesõidukiõnnetus,Sõiduki teelt väljasõit,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,true,203,Sõiduk kaotab teelõigul või ristmikul juhitavuse ning kaldub kavandatud kursist paremale teelt välja või vastassuuna vööndisse.,Riigitee,Kõrvalmaantee,Kõrvalmaantee,Erielemendita teelõik,Erielemendita teelõik,Rajatis puudub,Lauge kurv,Tasane tee,Sõidutee on korras,Püsikate,Kuiv,,50,Selged olud,Pimeda aeg,Pimeda ajal valgustus ei põle,6466256.61,499271.95,8,m,1,0.149451670800959,499271.95,6466256.61,499272.010161161,6466256.74680803
3100200458319,2020-08-09 12:53:00,0,0,2,1, Rapla maakond Rapla vald Röa küla ,TALLINN - RAPLA - TÜRI,Künka,,15,37.381,Rapla maakond,Rapla vald,Röa küla,EI,Kokkupõrge,Kokkupõrge vastutuleva sõidukiga,,,,,,,,,,,,,,,,,698,Muu konflikt vastassuundadest tulevate sõidukite vahel.,Riigitee,Tugimaantee,Tugimaantee,Erielemendita teelõik,Erielemendita teelõik,Rajatis puudub,Sirge tee,Tasane tee,Sõidutee on korras,Püsikate,Kuiv,2,90,Selged olud,Valge aeg,Valge aeg,6549742.9,545975.37,12,m,1,0.248550009547433,545975.37,6549742.9,545975.618182516,6549742.88648905
3100210126872,2021-03-11 12:48:00,2,0,3,1, Harju maakond Tallinn Nõmme linnaosa Silikaltsiidi tn,Silikaltsiidi tn,2,,,,Harju maakond,Tallinn,Nõmme linnaosa,JAH,Kokkupõrge,Kokkupõrge vastutuleva sõidukiga,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,601,Konflikt vastassuundadest otse sõitvate sõidukite vahel teelõigul või ristmiku peateel.,KOV tee/tänav,Tänav,Muu tee,Erielemendita teelõik,Erielemendita teelõik,Rajatis puudub,Sirge tee,Tasane tee,Sõidutee on ebatasane,Püsikate,"Lumelörts, soolalumine segu",,50,Pilvised olud,Valge aeg,Valge aeg,6582038.0,541222.0,9,m,1,2.72604870396718,541222.0,6582038.0,541219.283126755,6582037.77652448
2101230167541,2023-11-20 10:03:00,3,0,2,1, Tartu maakond Tartu linn Tartu linn Vaksali tn,Vaksali tn,17,,,,Tartu maakond,Tartu linn,Tartu linn,JAH,Kokkupõrge,Sõidukite külgkokkupõrge,false,true,false,false,true,false,false,false,true,false,false,false,false,false,false,true,602,Teelõigul või ristmikul peateelt kõrvalteele vasakpööret sooritava sõiduki konflikt vastassuunast tuleva sõidukiga.,KOV tee/tänav,Tänav,Muu tee,Ristmik,†-kujuline ristmik,Reguleerimata ristmik - liiklusmärkidega,Sirge tee,Tasane tee,Sõidutee on korras,Püsikate,Kuiv,,50,Selged olud,Valge aeg,Valge aeg,6473437.0,658523.0,,,,,,,,
2300200011355,2020-09-05 11:49:00,1,0,1,1, Harju maakond Tallinn Nõmme linnaosa Lemmiku tn,Lemmiku tn,35,,,,Harju maakond,Tallinn,Nõmme linnaosa,JAH,Ühesõidukiõnnetus,Kokkupõrge teevälise takistusega,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,202,Sõiduk kaotab teelõigul või ristmikul juhitavuse ning kaldub kavandatud kursist vasakule vastassuuna vööndisse või teelt välja.,KOV tee/tänav,Tänav,Muu tee,Erielemendita teelõik,Erielemendita teelõik,Rajatis puudub,Sirge tee,Tasane tee,Sõidutee on korras,Püsikate,Kuiv,,50,Pilvised olud,Valge aeg,Valge aeg,6581323.0,537239.0,5,m,1,17.1935448908875,537239.0,6581323.0,537223.740059438,6581315.07837138
3100200062499,2020-02-04 18:15:00,2,0,1,1, Harju maakond Tallinn Lasnamäe linnaosa Loitsu tn,Loitsu tn,5,,,,Harju maakond,Tallinn,Lasnamäe linnaosa,JAH,Jalakäijaõnnetus,Kokkupõrge jalakäijaga,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,true,110,Parempööret sooritava ja ristmikult lahkuva sõiduki konflikt jalakäijaga.,KOV tee/tänav,Tänav,Muu tee,Ristmik,Y-kujuline ristmik,Reguleerimata ristmik - liiklusmärkidega,Lauge kurv,Tasane tee,Sõidutee on korras,Püsikate,Kuiv,,30,Selged olud,Pimeda aeg,Pimeda ajal valgustus põleb,6589744.0,547511.0,15,m,1,1.97964503840696,547511.0,6589744.0,547510.234757447,6589745.82575965
2602120111781,2012-10-10 11:57:00,2,0,0,1, Võru maakond VANA Võru linn  Jüri tn,Jüri tn,58,,,,Võru maakond,Võru linn,,JAH,Kokkupõrge,Kokkupõrge vastutuleva sõidukiga,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,true,698,Muu konflikt vastassuundadest tulevate sõidukite vahel.,KOV tee/tänav,Tänav,,Erielemendita teelõik,Erielemendita teelõik,Rajatis puudub,Sirge tee,Tasane tee,Sõiduteel on takistus,Püsikate,Kuiv,,50,Selged olud,Valge aeg,Valge aeg,6414992.0,678540.0,8,m,1,2.90845673503725,678540.0,6414992.0,678537.213985278,6414991.16498949
3100200389363,2020-07-11 15:27:00,3,0,2,1, Jõgeva maakond Jõgeva vald  ,TARTU - JÕGEVA - ARAVETE,,,39,29.766,Jõgeva maakond,Jõgeva vald,Pikkjärve küla,EI,Kokkupõrge,Kokkupõrge sõidukiga küljelt,false,false,true,false,true,false,false,false,true,false,false,false,true,false,false,true,403,Teelõigul või ristmikul peateelt vasakpööret sooritava sõiduki konflikt otse sõitva või pööret sooritava sõidukiga.,Riigitee,Tugimaantee,Tugimaantee,Erielemendita teelõik,Erielemendita teelõik,Rajatis puudub,Lauge kurv,Tasane tee,Sõidutee on korras,Püsikate,Märg,2,90,Pilvised olud,Valge aeg,Valge aeg,6503531.01,647802.6,10,m,1,0.647527474607176,647802.6,6503531.01,647802.939286504,6503531.56152198
